,Listing,Price,Date posted,Distance from zip
0,Miniature Country Style High Chair ,25,Apr 17,0.0
1,China Closet or Hutch ,100,Apr 17,0.0
2,Furniture ,75,Apr 17,0.0
3,"Table, dinning, 8 Leather chairs ",345,Apr 15,0.0
4,Citium Rustic 25'5 Torchiere lamps ,160,Apr 19,1.5
5,Ikea Botkyrka Shelves ,75,Apr 13,1.5
6,Loft Bed ,300,Apr 19,4.1
7,Dr.'s office weight/height Scale ,45,Apr 18,5.9
8,Girls Twin Bunk Bed ,350,Apr 16,5.9
9,Queen Size Bed ,100,Apr 17,6.9
10,Dining room table set ,700,Apr 11,7.6
11,Leather couch set ,1000,Apr 11,7.6
12,Heavy glass top coffee table ,0,Apr 9,7.6
13,"Leather Couch, Chair and Ottoman ",1000,Apr 16,7.8
14,This End Up Living Room Furniture ,0,Apr 17,8.1
15,Baker Party Butler ,650,Apr 19,8.9
16,"Dining set, kitchen table and chairs, kitchen dining set. ",500,Apr 18,8.9
17,Wicker Chairs ,50,Apr 14,8.9
18,Ralene Counter Height Dining Room Extension Table (Chairs Included) ,375,Apr 13,8.9
19,Ralene Counter Height Dining Room Extension Table (Chairs Included) ,375,Apr 13,8.9
20,bedside table ,50,Apr 17,9.2
21,WHITE WICKER VANITY/SEAT & 3 STACK TABLES ,100,Apr 18,9.3
22,VINTAGE BUFFET/LIQUOR CABINET SERVER~WHITE FURNITURE CO. ,145,Apr 18,9.3
23,AWESOME VINTAGE CHAIRS~NEEDLEPOINT SEATS ,60,Apr 18,9.3
24,VINTAGE SEATING BENCH FOR LIVING/DINING/FOYER~CLAW FEET~UPHOLSTERED ,95,Apr 18,9.3
25,WOOD PEDESTAL TABLE FOR PLANT OR VASE ,35,Apr 18,9.3
26,2 twin beds with mattress ,200,Apr 18,9.3
27,Work Desk ,75,Apr 17,9.3
28,Chairs ,0,Apr 16,9.3
29,Twin Bedding ,100,Apr 15,9.3
30,Coffee table set ,125,Apr 15,9.3
31,Chairs high back tufted ,100,Apr 15,9.3
32,Sofa Leather Recliner ,400,Apr 15,9.3
33,Mid-century modern stools tables ,35,Apr 15,9.3
34,mid-century modern Chrome ball lamp ,250,Apr 15,9.3
35,King size Serta Perfect sleeper ,150,Apr 14,9.3
36,BAMBOO 4 PIECE TABLE/3 CHAIRS BLONDE COLOR PATIO FURNITURE ,125,Apr 11,9.3
37,VINTAGE SHIPSWHEEL COFFEE/SIDE TABLE ,75,Apr 11,9.3
38,WHITE WICKER VANITY/SEAT~SHORE HOUSE ,85,Apr 11,9.3
39,WHITE WICKER COFFEE TABLE FOR INSIDE/OUTSIDE LIVING ,75,Apr 11,9.3
40,VINTAGE COUNTRY~HAND-MADE WOOD OPEN SHELVED CABINET~PA. DUTCH ,125,Apr 9,9.3
41,"VINTAGE ""BUTLER"" STYLE COFFEE TABLE~ FURNITURE~ ",120,Apr 9,9.3
42,TILED TOP WROUGHT IRON WINE BOTTLE HOLDER ,60,Apr 9,9.3
43,GREEN METAL KITCHEN~BAKERS RACK~ WITH WINE BOTTLES HOLDER ,95,Apr 9,9.3
44,Cedar Closet ,175,Apr 18,9.5
45,Cedar Closet ,175,Apr 18,9.5
46,Cedar Closet ,175,Apr 18,9.5
47,Cedar Closet ,175,Apr 18,9.5
48,Bar Stools set of 6 ,450,Apr 16,9.8
49,Malm full bed frame ,100,Apr 18,10.5
50,Wrought Iron 5 piece hand- painted indoor/out-door set ,600,Apr 17,10.6
51,Moving Sale ,0,Apr 19,10.8
52,Oak dressers/ tiny chair ,200,Apr 19,10.8
53,Pet cage ,80,Apr 18,10.8
54,Vintage Torch Floor Lamp ,35,Apr 18,10.8
55,Outdoor/Indoor metal rocker ,119,Apr 17,10.8
56,Pair of lamps ,40,Apr 17,10.8
57,Restoration Hardware Partners Desk ,0,Apr 15,10.8
58,"Concrete table 42"" round ",50,Apr 14,10.8
59,"Full Basement setup, wooden couch ",550,Apr 10,10.8
60,Corner Cabinet ,40,Apr 10,11.0
61,Chair set ,25,Apr 18,11.3
62,Stools ,50,Apr 19,13.1
63,High top table ,480,Apr 19,13.9
64,"ROUND DINING SET, MATCHING BAR STOOLS, GREEN LEATHER SWIVEL ARMCHAIR ",50,Apr 12,14.2
65,Twin bed ,75,Apr 18,14.7
66,Mirror ,40,Apr 9,15.1
67,2 Pink Vintage Accent Chairs ,10,Apr 18,15.7
68,Solid Wood Coffeetable ,25,Apr 18,15.7
69,Solid Wood Dining Table with Leaf and Chairs ,50,Apr 18,15.7
70,Solid Wood Dining Table with Leaf and chairs ,50,Apr 18,15.7
71,2 Pink Vintage Chairs ,10,Apr 18,15.7
72,Solid Wood Coffeetable ,25,Apr 18,15.7
73,Antique wooden rope bed frame with top rails ,250,Apr 18,15.7
74,Reclining Sofas Set of 2 ,600,Apr 18,15.7
75,Dining Set & Buffet ,275,Apr 15,15.7
76,Chairs and Tables ,250,Apr 15,15.7
77,Chairs & Tables ,250,Apr 15,15.7
78,White farmhouse bedroom set long dresser 2 night stands ,375,Apr 14,15.7
79,White farmhouse kitchen dining set 60” to 84” table 6 black chairs ,299,Apr 14,15.7
80,Leather Reclining Power Lift Chair ,200,Apr 12,15.7
81,Stander Pink Collapsible Walker ,35,Apr 12,15.7
82,Stander Champagne Collapsible Walker ,25,Apr 12,15.7
83,Twin Wicker Wood Headboard ,10,Apr 12,15.7
84,Counter Stools - iron set of 2 ,200,Apr 17,17.7
85,Chairs and ottoman ,275,Apr 17,17.8
86,Coffee Table ,175,Apr 17,17.8
87,Entertainment Wall Unit ,275,Apr 17,17.8
88,Gold Mirror - ornate ,400,Apr 17,17.8
89,China Cabinet - Chippendale ,400,Apr 17,17.8
90,Bar Stool - Lucite ,275,Apr 17,17.8
91,Ornate hanging mirror and shelf ,250,Apr 17,17.8
92,Club Chair ,325,Apr 17,17.8
93,Genuine Leather Sectional ,900,Apr 14,18.1
94,Sleeper couch ,0,Apr 18,18.2
95,Sofa/Couch- With Pull Out Bed ,60,Apr 18,18.2
96,Unique Indonesian Pair of Chairs on Casters - Solid wood Craftsmanship ,1,Apr 18,18.2
97,Great Deal! Household Items - Over 200 Plus Items in Lot ,65,Apr 16,18.2
98,Whicker Sun Room Furnature ,299,Apr 14,18.2
99,wicker wall shelf ,15,Apr 13,18.2
100,white wicker bathroom wall rack ,45,Apr 13,18.2
101,Dresser with mirror and nightstands ,200,Apr 10,18.2
102,FREE Twin Bedframes/Mattress/Boxspring ,0,Apr 9,18.2
103,Italian Provincial Queen bedroom 5 pc set ,650,Apr 12,18.3
104,Queen Bed Frame ,175,Apr 11,18.4
105,Queen Bed Frame ,175,Apr 11,18.4
106,Hanging coffee/spice rack ,80,Apr 18,18.5
107,Hanging Barnwood entryway organizer ,85,Apr 18,18.5
108,Rustic reclaimed pallet table ,195,Apr 18,18.5
109,Handmade cedar stump table ,700,Apr 9,18.5
110,Oak dinette set ,100,Apr 19,19.1
111,"Bedroom Set , Living Room Set , Dining Table China Closet, Ent Cntr ",100,Apr 18,19.1
112,Dining Table China Closet Entertainment Center ,100,Apr 18,19.1
113,Queen Bedroom Set Sleigh Bed Dresser Night Table ,250,Apr 18,19.1
114,"Sofa , End Table , Coffee Table , Lamp ",300,Apr 18,19.1
115,Farmhouse country couch ,300,Apr 17,19.1
116,Wood table and chairs ,300,Apr 14,19.1
117,Little Tikes Sports Car Twin Bed ,0,Apr 13,19.1
118,Lazy boy reclining chair ,85,Apr 12,19.1
119,Bedroom furniture set ,275,Apr 10,19.2
